20200817_20-33-09 , 188
20200817_20-33-24 , 179
20200817_20-33-40 , 177
20200817_20-33-58 , 167
20200817_20-34-14 , 192
20200817_20-38-06 , 164
20200817_20-38-21 , 159
20200817_20-38-40 , 179
20200817_20-38-59 , 188
20200817_20-39-53 , 164
20200817_20-40-12 , 159
20200817_20-40-30 , 179
20200817_20-40-48 , 188
20200817_20-41-08 , 179
20200817_20-41-29 , 177
20200817_20-46-09 , 164
20200817_20-46-47 , 159
20200817_21-52-26 , 164
20200817_21-52-47 , 159
20200817_21-53-07 , 179
20200817_21-53-24 , 188
20200817_21-53-40 , 179
20200817_21-53-59 , 177
20200817_22-03-46 , 164
20200817_22-08-50 , 164
20200817_22-14-55 , 164
20200817_22-15-19 , 159
20200817_22-15-44 , 179
20200817_22-17-50 , 164
20200817_22-23-14 , 164
20200817_22-26-45 , 164
20200817_22-27-07 , 159
20200817_22-27-31 , 179
20200817_22-27-55 , 188
20200819_10-01-32 , 164
20200819_10-01-51 , 159
20200819_10-02-13 , 179
20200819_10-02-36 , 188
20200819_10-02-57 , 179
20200819_10-03-20 , 177
20200819_10-03-40 , 167
20200819_10-07-42 , 164
20200819_10-08-01 , 159
20200819_10-08-21 , 179
20200819_10-08-40 , 188
20200819_10-09-00 , 179
20200819_10-09-19 , 177
20200819_10-09-38 , 167
20200819_10-09-57 , 192
20200819_10-10-16 , 178
20200819_10-10-35 , 187
20200819_10-10-58 , 166
20200819_10-11-17 , 174
20200819_10-11-39 , 167
20200819_10-11-59 , 179
20200819_10-12-22 , 162
20200819_10-12-44 , 176
20200819_10-13-06 , 167
20200819_10-17-32 , 164
20200819_10-17-54 , 159
20200819_10-15-14 , 179
20200819_10-15-35 , 188
20200819_10-21-36 , 164
20200819_10-21-55 , 159
20200819_10-22-13 , 179
20200819_10-22-30 , 188
20200819_10-22-47 , 179
20200819_10-23-06 , 177
20200819_10-23-26 , 167
20200819_10-23-46 , 192
20200819_10-24-07 , 178
20200819_10-24-27 , 187
20200819_10-26-24 , 164
20200819_10-26-40 , 159
20200819_10-26-58 , 179
20200819_10-27-13 , 188
20200819_10-27-30 , 179
20200819_10-27-48 , 177
20200819_10-28-04 , 167
20200819_10-28-21 , 192
20200819_10-28-38 , 178
20200819_10-28-55 , 187
20200819_10-29-13 , 166
20200819_10-34-54 , 164
20200819_10-35-12 , 159
20200819_10-35-30 , 179
20200819_10-35-46 , 188
20200819_10-36-01 , 179
20200819_10-36-18 , 177
20200819_10-36-34 , 167
20200819_10-36-50 , 192
20200819_10-37-06 , 178
20200819_10-37-40 , 164
20200819_10-37-55 , 159
20200819_10-38-10 , 179
20200819_10-38-24 , 188
20200819_10-38-47 , 179
20200819_10-39-03 , 177
20200819_10-39-19 , 167
20200819_10-39-36 , 192
20200819_10-39-52 , 178
20200819_10-40-07 , 187
20200819_10-40-21 , 166
20200819_10-40-36 , 174
20200819_10-40-52 , 167
20200819_10-41-07 , 179
20200819_10-41-23 , 162
20200819_10-41-37 , 176
20200819_10-41-53 , 167
20200819_12-40-06 , 164
20200819_12-40-21 , 159
20200819_12-40-35 , 179
20200819_12-40-49 , 188
20200819_12-41-03 , 179
20200819_12-41-18 , 177
20200819_12-41-35 , 167
20200819_12-43-08 , 164
20200819_12-43-23 , 159
20200819_12-43-39 , 179
20200819_12-43-53 , 188
20200819_13-46-47 , 164
20200819_13-47-02 , 159
20200819_13-47-16 , 179
20200819_13-47-32 , 188
20200819_13-47-46 , 179
20200819_13-48-02 , 177
20200819_13-48-17 , 167
20200819_13-48-32 , 192
20200819_13-48-47 , 178
20200819_14-08-11 , 164
20200819_14-08-27 , 159
20200819_14-08-41 , 179
20200819_14-08-55 , 188
20200819_14-09-30 , 164
20200819_14-09-44 , 159
20200819_14-09-59 , 179
20200819_14-10-14 , 188
20200819_14-10-30 , 179
20200819_14-10-45 , 177
20200819_14-11-00 , 167
20200819_14-11-16 , 192
20200819_14-11-32 , 178
20200819_14-11-48 , 187
20200819_14-12-06 , 166
20200819_14-12-22 , 174
20200819_14-12-38 , 167
20200819_14-22-06 , 164
20200819_14-22-20 , 159
20200819_14-22-36 , 179
20200819_14-22-51 , 188
20200819_14-23-05 , 179
20200819_14-23-21 , 177
20200819_14-23-39 , 167
20200819_14-23-54 , 192
20200819_14-24-09 , 178
20200819_14-24-25 , 187
20200819_14-24-40 , 166
20200819_14-24-57 , 174
20200819_14-25-13 , 167
20200819_14-25-30 , 179
20200819_14-25-46 , 162
20200819_14-26-01 , 176
20200819_14-26-17 , 167
20200819_14-26-32 , 168
20200819_14-26-47 , 154
20200819_14-27-02 , 155
20200819_14-27-18 , 153
